,state,income,abbr,brewery_count,population,wineries,pct_brewery,per_capita_beer,per_capita_wine,total_breweries,pct_winery,total_wineries,avg_temp,total_happiness_score,well_being_score,work_environment_score,community_environment_score,polictical_party
39,SOUTH CAROLINA,57444,SC,96,5084127,11,1.058784604,52960,462193,9067,0.23344652,4712,58.11,50.27,32,21,9,republican
40,SOUTH DAKOTA,59463,SD,37,882235,14,0.408073233,23844,63017,9067,0.297113752,4712,45.54,51.04,21,16,45,republican
41,TENNESSEE,56060,TN,122,6770010,29,1.345538767,55492,233449,9067,0.615449915,4712,58.11,42.75,42,15,42,republican
42,TEXAS,59785,TX,417,28701845,136,4.599095621,68829,211043,9067,2.886247878,4712,65.97,52.14,12,19,48,republican
43,UTAH,77067,UT,49,3161105,7,0.540421308,64512,451586,9067,0.148556876,4712,49.55,65.93,15,1,2,democrat
44,VERMONT,70066,VT,78,626299,14,0.86026249,8029,44736,9067,0.297113752,4712,43.74,52.74,28,22,6,democrat
45,VIRGINIA,77151,VA,309,8517685,140,3.407962943,27565,60841,9067,2.971137521,4712,55.54,55.59,13,24,28,democrat
46,WASHINGTON,79726,WA,445,7535591,451,4.907907798,16934,16709,9067,9.571307301,4712,50.47,52.41,30,5,30,democrat
47,WEST VIRGINIA,50573,WV,30,1805832,16,0.330870189,60194,112864,9067,0.339558574,4712,53.08,33.73,50,47,5,democrat
48,WISCONSIN,62629,WI,232,5813568,41,2.558729458,25058,141794,9067,0.870118846,4712,44.71,51.53,22,20,37,democrat
49,WYOMING,62539,WY,42,577737,3,0.463218264,13756,192579,9067,0.063667233,4712,43.47,47.54,31,46,19,republican
